zip_code,city,lat,long,pop,state,state_name
02193,WESTON,42.359422,-71.300291,10221,MA,Massachusetts
02194,NEEDHAM,42.297702,-71.234363,8006,MA,Massachusetts
02199,BOSTON,42.347873,-71.082543,886,MA,Massachusetts
02210,BOSTON,42.348921,-71.046511,308,MA,Massachusetts
02215,BOSTON,42.347088,-71.102689,17769,MA,Massachusetts
02322,AVON,42.125825,-71.043738,4594,MA,Massachusetts
02324,BRIDGEWATER,41.977341,-70.97234,21198,MA,Massachusetts
02330,CARVER,41.888265,-70.767754,10573,MA,Massachusetts
02332,DUXBURY,42.039936,-70.716257,13913,MA,Massachusetts
02333,EAST BRIDGEWATER,42.031478,-70.944964,11104,MA,Massachusetts
02338,HALIFAX,42.000159,-70.844794,6526,MA,Massachusetts
02339,HANOVER,42.121406,-70.857006,11912,MA,Massachusetts
02341,HANSON,42.061627,-70.865053,9037,MA,Massachusetts
02343,HOLBROOK,42.14641,-71.008273,11041,MA,Massachusetts
02346,MIDDLEBORO,41.888396,-70.892965,17867,MA,Massachusetts
02347,LAKEVILLE,41.837377,-70.958195,7785,MA,Massachusetts
02351,ABINGTON,42.116715,-70.954293,13849,MA,Massachusetts
02356,NORTH EASTON,42.058956,-71.112337,10397,MA,Massachusetts
02359,PEMBROKE,42.062072,-70.804404,14535,MA,Massachusetts
02360,PLYMOUTH,41.910404,-70.642004,45629,MA,Massachusetts
02364,KINGSTON,41.995022,-70.740993,9045,MA,Massachusetts
02367,PLYMPTON,41.96549,-70.804582,2384,MA,Massachusetts
02368,RANDOLPH,42.173587,-71.051392,30057,MA,Massachusetts
02370,ROCKLAND,42.129286,-70.913263,16123,MA,Massachusetts
02375,SOUTH EASTON,42.025704,-71.098814,9247,MA,Massachusetts
02379,WEST BRIDGEWATER,42.025511,-71.016054,6440,MA,Massachusetts
02382,WHITMAN,42.081603,-70.938127,13208,MA,Massachusetts
02401,BROCKTON,42.081571,-71.034348,59498,MA,Massachusetts
02402,BROCKTON,42.088396,-71.001947,33290,MA,Massachusetts
02532,ONSET,41.752918,-70.593168,12047,MA,Massachusetts
02535,CHILMARK,41.357523,-70.741613,952,MA,Massachusetts
02536,TEATICKET,41.58504,-70.565174,15976,MA,Massachusetts
02537,EAST SANDWICH,41.684603,-70.46822,7254,MA,Massachusetts
